WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,6/1/2021,WTA500,Outdoor,Hard,1st Round,3,Kasatkina D.,Wang Q.,72,34,985,1706,6,2,3,6,6,2,2,1,Completed,"1,66","2,1","1,69","2,28","1,81","2,3","1,68","2,18"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,6/1/2021,WTA500,Outdoor,Hard,1st Round,3,Kudermetova V.,Kontaveit A.,46,23,1453,2330,7,5,6,1,,,2,0,Completed,"2,25","1,57","2,42","1,62","2,6","1,64","2,36","1,59"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,6/1/2021,WTA500,Outdoor,Hard,1st Round,3,Sakkari M.,Potapova A.,22,101,2405,759,6,4,6,2,,,2,0,Completed,"1,22",4,"1,26","4,25","1,26","4,75","1,23","4,16"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,6/1/2021,WTA500,Outdoor,Hard,1st Round,3,Putintseva Y.,Trevisan M.,28,85,2015,879,6,3,6,3,,,2,0,Completed,"1,3","3,4","1,32","3,7","1,43","3,7","1,31","3,44"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,6/1/2021,WTA500,Outdoor,Hard,1st Round,3,Flipkens K.,Siegemund L.,86,51,878,1331,5,7,7,5,6,4,2,1,Completed,"2,5","1,5","2,47","1,6","2,63","1,65","2,44","1,55"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,6/1/2021,WTA500,Outdoor,Hard,1st Round,3,Jabeur O.,Pavlyuchenkova A.,31,38,1883,1630,7,6,6,3,,,2,0,Completed,"1,57","2,25","1,67","2,32","1,77","2,55","1,64","2,25"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,6/1/2021,WTA500,Outdoor,Hard,1st Round,3,Tomljanovic A.,Zhu L.,68,91,1035,830,6,2,7,6,,,2,0,Completed,"1,57","2,25","1,6","2,48","1,63","2,5","1,57","2,4"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,6/1/2021,WTA500,Outdoor,Hard,1st Round,3,Pera B.,Vekic D.,62,32,1105,1880,7,6,2,6,6,4,2,1,Completed,"2,5","1,5","2,56","1,56","2,7","1,56","2,51","1,53"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,6/1/2021,WTA500,Outdoor,Hard,1st Round,3,Badosa P.,Sevastova A.,70,54,1018,1288,6,2,5,7,6,2,2,1,Completed,"2,1","1,66","2,16","1,76","2,25","1,76","2,15","1,7"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,6/1/2021,WTA500,Outdoor,Hard,1st Round,3,Fernandez L.A.,Paolini J.,88,96,838,785,6,4,6,2,,,2,0,Completed,"1,25","3,75","1,28","4,03","1,29","4,4","1,26","3,86"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,6/1/2021,WTA500,Outdoor,Hard,1st Round,3,Krejcikova B.,Loeb J.,65,255,1071,248,6,1,6,3,,,2,0,Completed,"1,1",7,"1,14","6,72","1,16","7,45","1,12","6,47"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,6/1/2021,WTA500,Outdoor,Hard,1st Round,3,Alexandrova E.,Diyas Z.,33,80,1775,928,6,4,6,4,,,2,0,Completed,"1,22",4,"1,29","3,93","1,31","4,3","1,26","3,84"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Bondarenko K.,Wang Y.,285,95,219,795,6,3,3,6,7,5,2,1,Completed,"2,2","1,61","2,24","1,72","2,35","1,72","2,23","1,65"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Wang Xiy.,Rus A.,123,74,623,971,6,3,3,6,6,4,2,1,Completed,"2,62","1,44","2,8","1,49","2,96","1,51","2,72","1,46"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Sorribes Tormo S.,Podoroska N.,66,47,1040,1407,6,3,6,3,,,2,0,Completed,"2,25","1,57","2,22","1,72","2,45","1,75","2,23","1,65"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Rybakina E.,Stefanini L.,19,394,2696,122,6,1,6,3,,,2,0,Completed,"1,04",13,"1,04","15,58","1,05",17,"1,03","12,49"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Sabalenka A.,Hercog P.,10,49,4220,1335,7,6,6,2,,,2,0,Completed,"1,16",5,"1,18","5,5","1,27","5,5","1,18","4,87"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Hsieh S.W.,Vondrousova M.,67,21,1035,2538,3,6,6,3,7,6,2,1,Completed,"3,25","1,33","3,38","1,36","3,5","1,41","3,3","1,33"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Kostyuk M.,Hradecka L.,99,495,767,84,6,2,6,4,,,2,0,Completed,"1,11","6,5","1,13","7,06","1,17",8,"1,12","6,37"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Sasnovich A.,Bondar A.,90,275,833,229,6,2,6,3,,,2,0,Completed,"1,11","6,5","1,11","7,62","1,15","7,95","1,11","6,76"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Kenin S.,Yang Zha.,4,789,5760,27,7,6,6,2,,,2,0,Completed,"1,04",13,"1,05","12,58","1,06","14,25","1,04","11,11"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Muchova K.,Kovinic D.,27,77,2036,942,6,4,6,1,,,2,0,Completed,"1,18","4,5","1,21","4,97","1,23","5,25","1,2","4,59"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Turati B.,Shvedova Y.,318,N/A,179,N/A,6,1,6,2,,,2,0,Completed,"1,61","2,2","1,67","2,33","1,69","2,35","1,64","2,25"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Cornet A.,Grammatikopoulou V.,53,269,1290,236,6,2,6,2,,,2,0,Completed,"1,11","6,5","1,1","8,29","1,17","8,75","1,09","7,4"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Muguruza G.,Mladenovic K.,15,50,3016,1335,6,2,6,4,,,2,0,Completed,"1,22",4,"1,3","3,8","1,32",4,"1,28","3,69"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Gauff C.,Eikeri U.,48,260,1364,245,6,0,6,1,,,2,0,Completed,"1,03",15,"1,04","13,96","1,05","17,5","1,03","12,49"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Zidansek T.,Brady J.,87,24,840,2320,0,6,6,3,6,4,2,1,Completed,"5,5","1,14","5,11","1,2","5,8","1,24","4,88","1,18"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Pliskova Ka.,Papamichail D.,6,278,5205,227,6,2,7,6,,,2,0,Completed,"1,05",11,"1,03","16,25","1,08",17,"1,04","11,91"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Watson H.,Burrage J.,58,263,1156,242,4,6,6,2,7,5,2,1,Completed,"1,2","4,33","1,23","4,61","1,25","4,9","1,21","4,35"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Svitolina E.,Pegula J.,5,63,5260,1103,6,4,6,3,,,2,0,Completed,"1,4","2,75","1,46","2,91","1,49","2,95","1,44","2,8"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Gasanova A.,Barthel M.,292,229,211,284,6,2,6,4,,,2,0,Completed,"1,83","1,83","1,95","1,93","2,13","1,95","1,94","1,85"
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,7/1/2021,WTA500,Outdoor,Hard,1st Round,3,Zvonareva V.,Hesse A.,164,289,440,217,6,3,6,4,,,2,0,Completed,"1,2","4,33","1,19","5,2","1,22",6,"1,19","4,7"
